Generation,BestFitness,AvgFitness,Diversity
0,0.8163150945743296,0.7760824532701468,32.165822784810125
1,0.8260303915138141,0.7910701603758594,31.23639240506329
2,0.8359466371574169,0.8054161868936234,28.91582278481013
3,0.8359466371574169,0.8137385497446289,26.458544303797467
4,0.8419050580625896,0.822228453849941,25.15474683544304
5,0.8419050580625896,0.8253454111178844,23.090506329113925
6,0.8457673867520584,0.8312449900693872,20.763291139240508
7,0.8519185100001972,0.8359245518598355,19.52848101265823
8,0.8519185100001972,0.8406371729206026,18.347784810126583
9,0.8539268046653324,0.8440211370384911,17.453164556962026
10,0.8569605444510956,0.8478369997093178,16.2376582278481
11,0.8571277376108232,0.8508326472276716,14.725632911392404
12,0.8589426621510045,0.8533550791608742,13.83860759493671
13,0.8589426621510045,0.8548271947841893,13.323101265822785
14,0.8590869880377812,0.8557517144982288,13.027215189873418
15,0.860689653416308,0.856999284404508,12.147784810126582
16,0.8608029925527969,0.8579509158915076,11.089240506329114
17,0.8622037931024067,0.8591867983702881,9.881012658227847
18,0.8622781212235254,0.8600946498248359,9.091772151898734
19,0.8635816948061293,0.860497406520557,8.466772151898734
20,0.8636946753087341,0.8615825039910356,7.804746835443038
21,0.863904368733619,0.8621602875769065,7.593037974683544
22,0.8665956731809263,0.8631333746435793,6.7594936708860756
23,0.8670537184556278,0.8636849905002466,6.438291139240507
24,0.8670537184556278,0.864453225171362,6.582911392405063
25,0.8670537184556278,0.8656670150575498,5.913291139240506
26,0.8670712595341096,0.8660747012426914,5.184810126582279
27,0.8670985957356373,0.8666279951086231,4.382911392405063
28,0.8686061998422216,0.8660048820636705,3.760126582278481
29,0.8686633071494945,0.8669753186537305,3.0009493670886074
30,0.868747171098116,0.8674484706728673,2.706329113924051
31,0.868760745600743,0.8678040520518184,2.5022151898734175
32,0.868760745600743,0.8680970358486221,2.107278481012658
33,0.868760745600743,0.8682271125538827,1.6632911392405063
34,0.868760745600743,0.868169778185303,1.4889240506329113
35,0.8687843455389339,0.8682991201271344,1.0632911392405062
36,0.8687843455389339,0.8681798938549832,0.7367088607594937
37,0.8687887537320617,0.8684677601500767,0.7193037974683544
38,0.8687887537320617,0.8681695360197322,1.2743670886075948
39,0.8688089844813025,0.8682148995456298,1.4474683544303797
40,0.8688089844813025,0.8684264905494521,1.315506329113924
41,0.8688133929244694,0.8685608055661722,1.375
42,0.8688277088670384,0.8683068352295361,1.3882911392405064
43,0.8688277088670384,0.8687047102535559,0.8180379746835443
44,0.8688321175002275,0.868193483312037,0.9765822784810126
45,0.8688321175002275,0.8684508047310852,1.1313291139240507
46,0.8688321175002275,0.8684454942340061,1.0129746835443039
47,0.8688321175002275,0.8685877095598642,0.6069620253164557
48,0.8688321175002275,0.8683395248672914,0.49556962025316453
49,0.8688321175002275,0.8686216077616281,0.2746835443037975
