Run,Seed,Best_Fitness,Best_Energy_J,Best_Delay_Hops,Min_Residual_J
1,42,0.8682585944683078,0.021675620623351554,1.75,1.9981266387834853
2,43,0.8612423822671655,0.023505086429564562,1.85,1.9938210029654115
3,44,0.8668519902189783,0.022016145521520942,1.775,1.9976765710502946
4,45,0.8698677474117421,0.02126578113178737,1.725,1.9975417804996294
5,46,0.8680070505407411,0.021754566713108717,1.75,1.9969308541424327
6,47,0.8737112868740159,0.02024912091737806,1.675,1.9969141648250843
7,48,0.8747983000299142,0.02002285041671005,1.65,1.9980521129157884
8,49,0.8737304961673129,0.020247170597428994,1.675,1.9980687246402902
9,50,0.8637601252914022,0.022795683397905053,1.825,1.9969315634361544
10,51,0.8733686134999945,0.02036547654620204,1.675,1.998001508416983
11,52,0.8613989644978033,0.02346299702112629,1.85,1.9966545041746975
12,53,0.8816428693429317,0.018304228771483824,1.55,1.9980551843939025
13,54,0.8744937880511914,0.020121313931666697,1.65,1.9977728395356424
14,55,0.8757373017595621,0.019713502901729022,1.65,1.997274675708135
15,56,0.8618050577224945,0.023324967763750506,1.85,1.9963166613989791
16,57,0.8718159832922265,0.020749108444161488,1.7,1.997695119262164
17,58,0.8844623574520207,0.017651938809535476,1.5,1.9984936697809945
18,59,0.8630173708094308,0.023042454780974858,1.825,1.9963128663509275
19,60,0.879434096992531,0.018888463182700238,1.575,1.9972692635976086
20,61,0.8730184787963959,0.020480581351128492,1.675,1.9980817679795044
21,62,0.8819657486492631,0.018323281786227958,1.525,1.9974863757291552
22,63,0.8814462705522083,0.01836783504059679,1.55,1.998151103343057
23,64,0.8632425132488876,0.0229703536986503,1.825,1.9972300985952627
24,65,0.8767776590938824,0.019503034121615255,1.625,1.998143496045429
25,66,0.8681371299171742,0.0217141157733618,1.75,1.9976501363529973
26,67,0.8631096150863146,0.023013697840839294,1.825,1.9968982237719703
27,68,0.8770771666974455,0.019402159203388888,1.625,1.9972107473014218
28,69,0.8734316237273402,0.02033869762886143,1.675,1.9963717825640233
29,70,0.8556890479691613,0.02489779197468584,1.95,1.9961636033328582
30,71,0.8688321175002275,0.021485240567321404,1.75,1.998043223130588
