Generation,MaxFitness,AvgFitness,Diversity,TotalEnergy_J,AvgDelay_Hops,MinResidual_J
0,0.8238079427112137,0.7753692748527047,30.73225738396624,0.03362535315753136,2.4725000000000006,1.9949095425274586
1,0.8297113036967346,0.7931322467742042,29.866687763713077,0.03195955422588346,2.370833333333333,1.995402347900598
2,0.8362264575813261,0.8049484948767385,28.50883966244725,0.03016587853451756,2.2608333333333337,1.9961055775490817
3,0.8414406950613663,0.8146053411072697,26.823154008438816,0.028745959027813118,2.1741666666666664,1.9963922882558138
4,0.8458471893968879,0.823411395441427,24.855601265822777,0.02755984272600854,2.1016666666666666,1.996411669958371
5,0.8499370576894013,0.8305242038426902,23.014240506329113,0.026475773774112414,2.0341666666666662,1.9967101399754266
6,0.8526839241935564,0.8364001422094227,21.204810126582274,0.025751272098960457,1.9899999999999998,1.9968434333829483
7,0.8562257474564279,0.8418258838035013,19.49821729957806,0.02481628418055923,1.9341666666666666,1.997156113261131
8,0.8585528106420799,0.846630244722936,17.739662447257384,0.024213669773634483,1.896666666666666,1.9970701016089454
9,0.8607006553709303,0.8506855000291653,15.911012658227845,0.023660390787916978,1.8624999999999998,1.9970766017525323
10,0.8623159675929721,0.8540308430019202,14.352710970464134,0.023245987883220433,1.8366666666666664,1.9971362445422458
11,0.8637588157220215,0.8567224179478823,13.025590717299574,0.02286922954765106,1.8150000000000002,1.9970970057529343
12,0.8651173298649535,0.8591885926750884,11.826297468354433,0.022518958007461277,1.7941666666666667,1.9972238940476381
13,0.8659322591682185,0.8611978463197987,10.75506329113924,0.022309550993741878,1.7816666666666665,1.9972717051393962
14,0.866553644919493,0.8628315423260082,9.793850210970465,0.022147727493261767,1.7725,1.9972377540256496
15,0.8672677587415927,0.8642119038961316,8.963259493670886,0.021963532707296028,1.7616666666666665,1.9971722916755297
16,0.8676558465629112,0.8652575301455158,8.160443037974684,0.021863134649731077,1.7558333333333336,1.9972192902724448
17,0.8680475161794388,0.8660193169227219,7.4805379746835445,0.02176303044969215,1.75,1.9971420887861027
18,0.868351483030823,0.866663039584775,6.822616033755276,0.02168301434952979,1.7458333333333333,1.9972235258788116
19,0.868543890209392,0.867179358566612,6.09191983122363,0.02163153776024645,1.7433333333333334,1.9972615063293848
20,0.8687207748214063,0.8675033325287423,5.4984388185654005,0.021585570430975844,1.7408333333333335,1.997237105994729
21,0.8689612733181491,0.867889549873092,4.991698312236287,0.02152264311848649,1.7375,1.9971651172225953
22,0.8692858788951943,0.8681361870492829,4.46308016877637,0.021440410934859044,1.7324999999999997,1.9973887215386488
23,0.8695390565243266,0.8683481711719873,4.206867088607596,0.021373385873232256,1.7291666666666667,1.9972827684307213
24,0.8696076041278009,0.8686327307284274,3.970400843881856,0.021354279119278136,1.7283333333333333,1.9972401558314083
25,0.8697802525795784,0.868808819790787,3.6893881856540096,0.021309030361324557,1.7258333333333336,1.9971817902477196
26,0.8698928980701439,0.8690791060749427,3.2928481012658226,0.02128070751342032,1.7241666666666666,1.9971869520882533
27,0.869966715161516,0.8692488052703774,2.9612974683544304,0.021260500223583854,1.7233333333333334,1.9972231659447173
28,0.8701850498188222,0.8693690340999374,2.612668776371308,0.021205149017409806,1.72,1.9972425583670237
29,0.8703559894690432,0.8694463843632465,2.3868987341772154,0.0211617158013056,1.7175,1.9972829618621568
30,0.8703708020563052,0.8695763907865659,2.261118143459916,0.02115682987923575,1.7175,1.9972869463659217
31,0.8703847371288018,0.8697319574629458,2.1111075949367093,0.021152276314890736,1.7175,1.9972987975660248
32,0.8705977629444178,0.8698653579758683,1.9495147679324896,0.021098166681247667,1.7141666666666666,1.997253743429613
33,0.8706599278701395,0.8700290733302236,1.7935126582278476,0.0210814178306346,1.7133333333333334,1.997267971717044
34,0.8706704387983811,0.870087380103038,1.7313924050632914,0.021078090723393932,1.7133333333333334,1.9973042665867131
35,0.870677045779431,0.8702230299979343,1.6845253164556957,0.021076044187350016,1.7133333333333334,1.9973397522846106
36,0.8707860906737195,0.8702528263751118,1.6573206751054852,0.021048255582634734,1.7116666666666667,1.9973014985099795
37,0.8707912678474585,0.8703798383479937,1.5133227848101263,0.021046584851166346,1.7116666666666667,1.9973034323842698
38,0.8707972629014585,0.8703257998044306,1.4086919831223632,0.021044549203232857,1.7116666666666667,1.9972900444913235
39,0.8708546439702595,0.870362020449493,1.258565400843882,0.02102944922096056,1.7108333333333334,1.9972989420860165
40,0.8709138502353909,0.8703789749520288,1.0985232067510549,0.021014159336345945,1.71,1.997276154024205
41,0.8709210524038282,0.8704606198053205,1.059018987341772,0.02101191603738296,1.71,1.9973083693582054
42,0.8709240016577022,0.8704898326223149,1.0337658227848103,0.021011045412289566,1.71,1.9973365506588374
43,0.8709329305191774,0.8705316298276542,0.9750316455696202,0.021008102763626173,1.71,1.9973364403262024
44,0.8709858984855771,0.8705356128969175,0.9971518987341769,0.020994584354195062,1.7091666666666667,1.997326126828368
45,0.8709895643743994,0.8706146096141197,0.9384810126582278,0.020993460297832375,1.7091666666666667,1.9973515537479414
46,0.870993229433505,0.8706233704878241,0.8031223628691981,0.020992101313287843,1.7091666666666667,1.9973091476127265
47,0.8709985252022654,0.8706546673056866,0.7522573839662444,0.020990375404407607,1.7091666666666667,1.997309915985671
48,0.8710021601428415,0.8706555154746755,0.7590928270042194,0.020989118007761147,1.7091666666666667,1.997295707483273
49,0.8710043915976022,0.8707064986355502,0.7426160337552743,0.02098844222962544,1.7091666666666667,1.9973113421341622
